option				default
AlignmentPoint			Center
AspectRatio			Automatic
Axes				False
AxesLabel			None
AxesOrigin			Automatic
AxesStyle			{}
Background			None
BaselinePosition		Automatic
BaseStyle			{}
ContentSelectable		Automatic
CoordinatesToolOptions		Automatic
Epilog				{}
FormatType			TraditionalForm
Frame				False
FrameLabel			None
FrameStyle			{}
FrameTicks			Automatic
FrameTicksStyle			{}
GridLines			None
GridLinesStyle			{}
ImageMargins			0.
ImagePadding			All
ImageSize			Automatic
LabelStyle			{}
Method				Automatic
PlotLabel			None
PlotRange			All
PlotRangeClipping		False
PlotRangePadding		Automatic
PlotRegion			Automatic
PreserveImageOptions		Automatic
Prolog				{}
RotateLabel			True
Ticks				Automatic
TicksStyle			{}
