option			default
AlignmentPoint		Center
AspectRatio		Automatic
Axes			False
AxesEdge		Automatic
AxesLabel		None
AxesOrigin		Automatic
AxesStyle		{}
Background		None
BaselinePosition	Automatic
BaseStyle		{}
Boxed			True
BoxRatios		Automatic
BoxStyle		{}
ClipPlanes		None
ClipPlanesStyle		Automatic
ContentSelectable	Automatic
ControllerLinking	False
ControllerPath		Automatic
Epilog			{}
FaceGrids		None
FaceGridsStyle		{}
FormatType		TraditionalForm
ImageMargins		0.
ImagePadding		All
ImageSize		Automatic
LabelStyle		{}
Lighting		Automatic
Method			Automatic
PlotLabel		None
PlotRange		All
PlotRangePadding	Automatic
PlotRegion		Automatic
PreserveImageOptions	Automatic
Prolog			{}
RotationAction		"Fit"
SphericalRegion		Automatic
Ticks			Automatic
TicksStyle		{}
TouchscreenAutoZoom	False
ViewAngle		Automatic
ViewCenter		Automatic
ViewMatrix		Automatic
ViewPoint		{1.3,-2.4,2.}
ViewProjection		Automatic
ViewRange		All
ViewVector		Automatic
ViewVertical		{0,0,1}
